为什么 是 五 号	为.什.么.是.五.号
康康 看	康.康.看
我 找 一 个 东西 给 你 看	我.找.一.个.东.西.给.你.看
这个	这.个
认识 这个 吧	认.识.这.个.吧
不 要 敲	不.要.敲
敲 坏 了	敲.坏.了
卖 玩具 啊	卖.玩.具.啊
多少 钱 呐	多.少.钱.呐
一 块 钱 呐	一.块.钱.呐
有 什么 玩具 啊	有.什.么.玩.具.啊
哎哟 打断 小 蚂蚁 的 手	哎.哟.打.断.小.蚂.蚁.的.手
我 还 没 买 呢	我.还.没.买.呢
你 有 什么 玩具	你.有.什.么.玩.具
不 要 放炮	不.要.放.炮
现在 大家 都 很 安静 的	现.在.大.家.都.很.安.静.的
你 放炮 人家 会 吓 一 跳	你.放.炮.人.家.会.吓.一.跳
我 不 敢	我.不.敢
你 记得 昨天 楼上 的 阮 伯伯 骂 人	你.记.得.昨.天.楼.上.的.阮.伯.伯.骂.人
因为 声音 太 吵 了 他 就 骂 人	因.为.声.音.太.吵.了.他.就.骂.人
今天 我们 不 要	今.天.我.们.不.要
啊	啊
就是 昨天 那个 谁	就.是.昨.天.那.个.谁
那个 叫 什么 颜 伯伯	那.个.叫.什.么.颜.伯.伯
因为 汽车 开 不 出来 了	因.为.汽.车.开.不.出.来.了
那 他 按 喇叭 楼上 的 阮 伯伯 就 生气 了 对 不 对	那.他.按.喇.叭.楼.上.的.阮.伯.伯.就.生.气.了.对.不.对
你 要 讲 什么	你.要.讲.什.么
你 讲 但是 不 能	你.讲.但.是.不.能
你 不 可以	你.不.可.以
你 可以 看 但是	你.可.以.看.但.是
你 玩 什么 都 可以	你.玩.什.么.都.可.以
但是 不 能 动	但.是.不.能.动
那 不 行 啊	那.不.行.啊
那 就 坏 了	那.就.坏.了
那 就 你 现在 不 要 弄 了	那.就.你.现.在.不.要.弄.了
我们 来 玩 别的 东西	我.们.来.玩.别.的.东.西
不 能 乱 动	不.能.乱.动
江 正 康 你 听 我 的话	江.正.康.你.听.我.的.话
你 要 拉 坏 了 等 会 就 不 能 听 了	你.要.拉.坏.了.等.会.就.不.能.听.了
你 就 没有 东西	你.就.没.有.东.西
怎么 抱	怎.么.抱
这 样子 抱	这.样.子.抱
妈妈 抱 不 动 你	妈.妈.抱.不.动.你
飞机 哎	飞.机.哎
这 飞机场 哎	这.飞.机.场.哎
造 飞机 啊	造.飞.机.啊
你 会 不 会 造 个 飞机	你.会.不.会.造.个.飞.机
你 记 不 记得 那个 歌	你.记.不.记.得.那.个.歌
那个 歌	那.个.歌
怎么 唱 的	怎.么.唱.的
造  机	造...机
把 声音 关 小	把.声.音.关.小
不 要 这样 靠 电视机 太 近	不.要.这.样.靠.电.视.机.太.近
哎哟 我 的 天	哎.哟.我.的.天
破 了 呀	破.了.呀
啊 那 这 积木 盒子 弄 坏 了 可 不 行 啊	啊.那.这.积.木.盒.子.弄.坏.了.可.不.行.啊
不 要 这 样子	不.要.这.样.子
我们 还是 来 玩 积木	我.们.还.是.来.玩.积.木
你 看	你.看
鼻子 声音 鼻	鼻.子.声.音.鼻
你 那个	你.那.个
随便 你	随.便.你
你 讲 昨天 谁 来 了	你.讲.昨.天.谁.来.了
讲 啊	讲.啊
昨天 谁 来 了	昨.天.谁.来.了
什么 舅舅 来	什.么.舅.舅.来
哦	哦
不 能 这 样子	不.能.这.样.子
打 坏 了 可惜	打.坏.了.可.惜
天 呐	天.呐
我 想 不 是 哎	我.想.不.是.哎
康康 不 能 开 玩 笑	康.康.不.能.开.玩.笑
康康 那 我们 一起 看 电视 好 吗	康.康.那.我.们.一.起.看.电.视.好.吗
你 看 这 是 什么	你.看.这.是.什.么
哎 不 能 这样 打架 哎	哎.不.能.这.样.打.架.哎
开 什么 玩笑	开.什.么.玩.笑
你 给 他 摆 上	你.给.他.摆.上
他 用 板子 打 的 比较 好	他.用.板.子.打.的.比.较.好
不 要 打 了	不.要.打.了
康康 请 你 不 要 打架	康.康.请.你.不.要.打.架
打架 不 好玩	打.架.不.好.玩
我 不 喜欢	我.不.喜.欢
不 好玩	不.好.玩
脚踏车 是 你 的	脚.踏.车.是.你.的
嗯	嗯
你 怎么 会 有 脚踏车 呢	你.怎.么.会.有.脚.踏.车.呢
谁 买 的	谁.买.的
收费站	收.费.站
我 做 收费站 好 了	我.做.收.费.站.好.了
噢 你 这个 积木 做 收费站 太 小 了	噢.你.这.个.积.木.做.收.费.站.太.小.了
我 做 收费站	我.做.收.费.站
在 这里	在.这.里
我 在 这边	我.在.这.边
收费站 在 这里	收.费.站.在.这.里
谁 来 了	谁.来.了
谁 来 了	谁.来.了
你 不 要 先 过来 吗	你.不.要.先.过.来.吗
我 是 收费站	我.是.收.费.站
你 要 走 过 我 这边	你.要.走.过.我.这.边
你 是 谁	你.是.谁
我 给 你 放 数据	我.给.你.放.数.据
你 把 数据 放 在 哪儿 啊	你.把.数.据.放.在.哪.儿.啊
嗯	嗯
哦	哦
不 要 锁 上门	不.要.锁.上.门
锁 上门 我们 找 不 到 你	锁.上.门.我.们.找.不.到.你
哎 不 行	哎.不.行
我 找 不 到 你 了	我.找.不.到.你.了
我 想 你 了	我.想.你.了
你 要 洗 手 不必 锁 门	你.要.洗.手.不.必.锁.门
嗯 尿 才 要 锁 门	嗯.尿.才.要.锁.门
你 要 嗯 尿	你.要.嗯.尿
我们 等 你 噢	我.们.等.你.噢
他 去 上 厕所	他.去.上.厕.所
他 出 的 来	他.出.的.来
那 是 弹簧 锁	那.是.弹.簧.锁
什么	什.么
好 我 跟 你 一起 去	好.我.跟.你.一.起.去
可是 那个 灯 坏 了 你 记 不 记得	可.是.那.个.灯.坏.了.你.记.不.记.得
我们 得 开 这边 的 门	我.们.得.开.这.边.的.门
这边 的 门 不 能 关	这.边.的.门.不.能.关
关 了 里面 就 黑黑 的	关.了.里.面.就.黑.黑.的
妈妈 帮忙	妈.妈.帮.忙
嗯	嗯
你 给 阿姨 什么	你.给.阿.姨.什.么
胶带	胶.带
什么 胶带	什.么.胶.带
哪个 胶带	哪.个.胶.带
哦 哪个 胶带	哦.哪.个.胶.带
呵呵 呵呵	呵.呵.呵.呵
你 开 到 哪 去 啊	你.开.到.哪.去.啊
你 今天 到 哪 去 啊	你.今.天.到.哪.去.啊
你 今天 到 哪 去 了	你.今.天.到.哪.去.了
怎么 就 看 舅舅 呢	怎.么.就.看.舅.舅.呢
你 怎么 到 舅舅 那边 去 的	你.怎.么.到.舅.舅.那.边.去.的
舅舅 舅舅 在 哪里 啊	舅.舅.舅.舅.在.哪.里.啊
那么 远 怎么 能 去 呢	那.么.远.怎.么.能.去.呢
舅舅 在 做 什么	舅.舅.在.做.什.么
美国 好 远 哦	美.国.好.远.哦
嗯	嗯
台北 不 远	台.北.不.远
台北 就是 妈妈 上班 那边	台.北.就.是.妈.妈.上.班.那.边
那边 不 远	那.边.不.远
嗯	嗯
你 小时候 把 它 砸 坏 了	你.小.时.候.把.它.砸.坏.了
你 不 讲话 等 会 就 没有 东西	你.不.讲.话.等.会.就.没.有.东.西
你 不 要 管 它	你.不.要.管.它
你 就是 玩 跟 我 玩	你.就.是.玩.跟.我.玩
没 吃饭 现在 饿 不 饿	没.吃.饭.现.在.饿.不.饿
饿 啦	饿.啦
饿 了 要 不 要 吃 点 饭	饿.了.要.不.要.吃.点.饭
那 吃 个 苹果	那.吃.个.苹.果
嗯	嗯
是 啊	是.啊
我 给 你 洗 一  洗	我.给.你.洗.一...洗
你 吃 一 个 苹果 吧	你.吃.一.个.苹.果.吧
好不好	好.不.好
好 啊	好.啊
给 你 洗 一 个 大 一点 的 怎么样	给.你.洗.一.个.大.一.点.的.怎.么.样
要不要	要.不.要
真的 要	真.的.要
好	好
哎哟	哎.哟
哎哟	哎.哟
好 大 一 个 洞	好.大.一.个.洞
还 能不能 吹 呀	还.能.不.能.吹.呀
破 了 怎 么 办	破.了.怎.么.办
都 是 脏 东西 啊	都.是.脏.东.西.啊
这 样子 装 啊	这.样.子.装.啊
它 会 掉 出来 哎	它.会.掉.出.来.哎
丢 到 哪里 去 呀	丢.到.哪.里.去.呀
在 桌子 上	在.桌.子.上
他 想 吃 就 让 他 吃	他.想.吃.就.让.他.吃
要不然 吃 不 完	要.不.然.吃.不.完
啊	啊
洗 过 了	洗.过.了
想 吃 的 时候 在 吃	想.吃.的.时.候.在.吃
不 想 吃 没关系	不.想.吃.没.关.系
哎 摔 坏 了 就 不 能 吃 了	哎.摔.坏.了.就.不.能.吃.了
不 是 宝宝 是 谁 的	不.是.宝.宝.是.谁.的
啊	啊
你 的	你.的
谁 说 是 你 的	谁.说.是.你.的
你 叫 它 它 答应 啊	你.叫.它.它.答.应.啊
你 叫 他	你.叫.他
怎么 叫 宝宝	怎.么.叫.宝.宝
它 又 不 是 宝宝	它.又.不.是.宝.宝
哎 这样 真的 会 压 坏 哎	哎.这.样.真.的.会.压.坏.哎
不 要 这样	不.要.这.样
我 压 了 一 次	我.压.了.一.次
坏 了	坏.了
看 你 爸爸 在 干 什么 啊	看.你.爸.爸.在.干.什.么.啊
好 厉害 的	好.厉.害.的
不 要 了	不.要.了
吃 了 晚饭 了	吃.了.晚.饭.了
好不好吃	好.不.好.吃
我 找 不 到 你 嘞	我.找.不.到.你.嘞
我 想 你	我.想.你
不 想 我 啊	不.想.我.啊
想 吧	想.吧
哪个 地方 想	哪.个.地.方.想
这边 想 啊	这.边.想.啊
这里 想 还是 肚子 里 想	这.里.想.还.是.肚.子.里.想
啊	啊
我 也 是 这里 想	我.也.是.这.里.想
你 什么 时候 想	你.什.么.时.候.想
什么 时候 想	什.么.时.候.想
我 上班 的 时候 呢	我.上.班.的.时.候.呢
去 暑 托 班 你 会不会 想	去.暑.托.班.你.会.不.会.想
那边	那.边
啊	啊
也 想 啊	也.想.啊
你 想 我 什么 呢	你.想.我.什.么.呢
想 我 怎么样	想.我.怎.么.样
我 回来 也 不 晚	我.回.来.也.不.晚
坐 下来	坐.下.来
空调 坏 了 呀	空.调.坏.了.呀
哦	哦
这 样子 啊	这.样.子.啊
对	对
这个 照片 蒋 阿姨 没有 看 过	这.个.照.片.蒋.阿.姨.没.有.看.过
这 你 喜欢 的	这.你.喜.欢.的
你 给 蒋 阿姨	你.给.蒋.阿.姨
谁 毕业 了	谁.毕.业.了
这 是 谁 呀	这.是.谁.呀
娘娘	娘.娘
还有 呢	还.有.呢
还有 谁	还.有.谁
他们 在 干 什么	他.们.在.干.什.么
为什么 要 照相 啊	为.什.么.要.照.相.啊
走开 什么	走.开.什.么
我 是 警察 啊	我.是.警.察.啊
我 不 是	我.不.是
我 是 医生	我.是.医.生
啊	啊
什么 地方 坏 掉 了	什.么.地.方.坏.掉.了
怎么 搞 的	怎.么.搞.的
谁 开 的 这个 车 啊	谁.开.的.这.个.车.啊
你 怎么 开 的 嘛	你.怎.么.开.的.嘛
你 开车 怎么 不 慢 一点 呢	你.开.车.怎.么.不.慢.一.点.呢
好 以后  会 慢 一点	好.以.后...会.慢.一.点
罚 钱 五 百 块	罚.钱.五.百.块
你 给 我 钱 啊	你.给.我.钱.啊
我 给 你 一 个 收据	我.给.你.一.个.收.据
你 这样 你 不 乖	你.这.样.你.不.乖
罚 六 百	罚.六.百
我 还 没 修理 哎	我.还.没.修.理.哎
修理 啊	修.理.啊
哪儿 坏 啦	哪.儿.坏.啦
我 看看 噢	我.看.看.噢
噢 这里 啊	噢.这.里.啊
看看	看.看
好 修理 好 了	好.修.理.好.了
你 试试 看	你.试.试.看
怎么样	怎.么.样
好 了 吧	好.了.吧
还 没 好 啊	还.没.好.啊
有 什么 不 好 呢	有.什.么.不.好.呢
又 这 破 了	又.这.破.了
这 罚 六 百 块	这.罚.六.百.块
好	好
啊	啊
漆 点 油漆 噢	漆.点.油.漆.噢
好 了 没 问题	好.了.没.问.题
不 修 了	不.修.了
老 出 车祸	老.出.车.祸
我 不 喜欢	我.不.喜.欢
嗯	嗯
这个 是	这.个.是
妈妈 奖励 你	妈.妈.奖.励.你
这 人 是 谁 呀	这.人.是.谁.呀
你 倒 头 时 要 小心	你.倒.头.时.要.小.心
那 多 痛 啊	那.多.痛.啊
他 脚 要 是 坏 了 就 不 能 上班 不 能 赚 钱	他.脚.要.是.坏.了.就.不.能.上.班.不.能.赚.钱
你 就 没有 饭 吃 了	你.就.没.有.饭.吃.了
昨天 没 弹 钢琴	昨.天.没.弹.钢.琴
昨天 我 没 弹 今天 弹	昨.天.我.没.弹.今.天.弹
真 不错 哎	真.不.错.哎
这样 不 好 啊 康康	这.样.不.好.啊.康.康
这样 你 太 累 了	这.样.你.太.累.了
你 不 要 管 你 的 麦克风	你.不.要.管.你.的.麦.克.风
你 来 跟 我 玩	你.来.跟.我.玩
这 是 谁 的 照片	这.是.谁.的.照.片
鱼鱼	鱼.鱼
看 鱼	看.鱼
康康 你 看 到 了 没	康.康.你.看.到.了.没
看 拿 个 牌子	看.拿.个.牌.子
哎 蝴蝶	哎.蝴.蝶
它 站 在 花 上	它.站.在.花.上
看 这 是 什么	看.这.是.什.么
这 是 什么 啊	这.是.什.么.啊
鱼 吃 蝴蝶 呀	鱼.吃.蝴.蝶.呀
你 今天 没有	你.今.天.没.有
哎 不 要 这样	哎.不.要.这.样
你 今天 没有 药 吃 了 是 吧	你.今.天.没.有.药.吃.了.是.吧
你 咳嗽 咳 的 厉害 不 厉害	你.咳.嗽.咳.的.厉.害.不.厉.害
啊	啊
点头 是 什么 意思 啊	点.头.是.什.么.意.思.啊
厉害 啊	厉.害.啊
这 会 胸口 痛 不 痛	这.会.胸.口.痛.不.痛
那 怎 么 办 呢	那.怎.么.办.呢
再 去 打 一 针 吧	再.去.打.一.针.吧
打针 痛 啊	打.针.痛.啊
可是 咳嗽 也 痛 啊	可.是.咳.嗽.也.痛.啊
打 了 针  咳嗽  就  不  痛  了  嘛 	打.了.针...咳.嗽...就...不...痛...了...嘛..
好不好	好.不.好
这 那个 铜像	这.那.个.铜.像
给 人 鞠躬 啊	给.人.鞠.躬.啊
因为 他 是 个 伟大 的 人	因.为.他.是.个.伟.大.的.人
所以 给 他 鞠躬	所.以.给.他.鞠.躬
可是 从 这里 过去 我 就 不 能 跟 你 玩 了	可.是.从.这.里.过.去.我.就.不.能.跟.你.玩.了
你 要 跟 我 说话 才 行 啊	你.要.跟.我.说.话.才.行.啊
你 晚上 睡觉	你.晚.上.睡.觉
你 药 吃 啦	你.药.吃.啦
那 你 苹果 怎 么 办 呢	那.你.苹.果.怎.么.办.呢
这样 吃 不 好吃 啊	这.样.吃.不.好.吃.啊
那 我 没有 了	那.我.没.有.了
啊	啊
那 你 去 把 这个 拿 来	那.你.去.把.这.个.拿.来
我 帮 你	我.帮.你
那 你 去 把 爸爸 沙发 上 那个 积木 拿 来	那.你.去.把.爸.爸.沙.发.上.那.个.积.木.拿.来
把 那边 的 积木 都 拿 来	把.那.边.的.积.木.都.拿.来
哎	哎
谁 的 球	谁.的.球
不 要 抢 他 的 苹果	不.要.抢.他.的.苹.果
轻轻 的 放 好不好	轻.轻.的.放.好.不.好
少 拿 一点	少.拿.一.点
一 次 拿 太 多 就 会 掉	一.次.拿.太.多.就.会.掉
再 拿 一 次 好不好	再.拿.一.次.好.不.好
哇 我 错 了	哇.我.错.了
你 拿 这么 多 来	你.拿.这.么.多.来
可以	可.以
端 盘子 可以	端.盘.子.可.以
一 次 端 六 个	一.次.端.六.个
啊	啊
你 刚才 一 次 拿 了 六 个 积木 啊	你.刚.才.一.次.拿.了.六.个.积.木.啊
嗯嗯	嗯.嗯
什么	什.么
