li2 khui1 a1i5	li2|khui1|a1.i5
gua2 be7hiau2	gua2|be7hiau2
he1 a1i5	he1|a1.i5
be7sai2	be7sai2
a1i5	a1.i5
he1 li2 beh4	he1|li2|beh4
i1 ia2 be7hiau2	i1|ia2|be7hiau2
ho2	ho2
he1 li2	he1|li2
kah4na2	kah4.na2
kong2 thiann1	kong2|thiann1
kin2	kin2
se2	se2
ian1chian5	ian1.chian5
long2	long2
sann2mih8 koo1a2	sann2.mih8|koo1.a2
he1 ke1thui2	he1|ke1.thui2
thng1si5a2 a1i5	thng1.si5a2|a1.i5
li2 thng1si5a2 a1i5	li2|thng1.si5a2|a1.i5
koh4 li2 te2	koh4|li2|te2
li2 u7kau3 lo1so1 li2	li2|u7kau3|lo1.so1|li2
beh4	beh4
siau2e0	siau2.e0
kong3lue3	kong3.lue3
kong3!	kong3.!
li2 a1i5 in3	li2|a1.i5|in3
se2sin1khu1	se2.sin1.khu1
lak4 kah4 kui1	lak4|kah4|kui1
gua2	gua2
leh4 chong3 sann2	leh4|chong3|sann2
thai2ko1 gin2a2	thai2.ko1|gin2.a2
li2 beh4ai3	li2|beh4.ai3
sau3chiu2	sau3.chiu2
he1 hang1 i1 khuann3bo5	he1|hang1|i1|khuann3.bo5
a1xuan1 ce1 sann2mih8	a1.xuan1|ce1|sann2.mih8
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
he1 sann2	he1|sann2
li2 be7ki3cit4	li2|be7ki3.cit4
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
i1 gua2 kong2	i1|gua2|kong2
li2 long2 be7ki3cit4	li2|long2|be7ki3.cit4
he1 sann2mih8	he1|sann2.mih8
ce1 luah8a2	ce1|luah8a2
ce1 sann2mih8	ce1|sann2.mih8
bueh8a2	bueh8a2
ce1	ce1
cing2kah4ngeh4a2	cing2.kah4.ngeh4.a2
ho2	ho2
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
he1 ciam1	he1|ciam1
ce1 bat4 sng2	ce1|bat4|sng2
ce1	ce1
beh4 chong3 sann2	beh4|chong3|sann2
li2 beh4 sann2mih8	li2|beh4|sann2.mih8
khui1mng5	khui1.mng5
ce1	ce1
beh4 tau3 leh4 tueh4	beh4|tau3|leh4|tueh4
tueh4	tueh4
beh4 tau3 leh4 tueh4	beh4|tau3|leh4|tueh4
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
a1ben4dan4	a1.ben4.dan4
ce1 ka1to1	ce1|ka1.to1
ce1	ce1
khi2bin2	khi2.bin2
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
guan5cu2pit4	guan5cu2.pit4
e7sai2 sia2ji7	e7sai2|sia2.ji7
he1 sann2mih8	he1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
ce1	ce1
ce1 bang2a2hiunn1	ce1|bang2.a2.hiunn1
li2 ting2 kai2 he1 gua2 kong3 he1	li2|ting2|kai2|he1|gua2|kong3|he1
ce1 sann2mih8	ce1|sann2.mih8
bang2a2hiunn1	bang2.a2.hiunn1
kong3	kong3
kong3 he1	kong3|he1
ce1	ce1
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ce1 sann2	ce1|sann2
ce1 sann2	ce1|sann2
suann3	suann3
liu2a2	liu2.a2
ce1 sann1	ce1|sann1
ce1 sann1 phua3khang1 ai3	ce1|sann1|phua3.khang1|ai3
cai1	cai1
thiau1kang1	thiau1.kang1
pa1pa1	pa1.pa1
li2 a1i5 kong2	li2|a1.i5|kong2
pa1pa1	pa1.pa1
li2 kong2	li2|kong2
pa1pa1 khi3 toh4	pa1.pa1|khi3|toh4
ti7leh4 chu3	ti7leh4|chu3
kong2 he1	kong2|he1
ce1	ce1
ce1 sann2mih8	ce1|sann2.mih8
ng5sik4	ng5sik4
li2 sng2 ho2	li2|sng2|ho2
li2 kiau2ti1 li2	li2|kiau2.ti1|li2
tueh4	tueh4
li2 kong2 tueh4	li2|kong2|tueh4
poo3te7hi3 i1 cai1lue3	poo3.te7hi3|i1|cai1.lue3
ian2 to2	ian2|to2
m7bian2	m7bian2
ce1 sann2mih8	ce1|sann2.mih8
he1 sann2mih8	he1|sann2.mih8
ce1 gua2 cai1	ce1|gua2|cai1
he1 si1kue1	he1|si1.kue1
i1 kong2 i1 tih4 ti3 bo7a2	i1|kong2|i1|tih4|ti3|bo7a2
hue1ki1	hue1.ki1
he1 sann2mih8	he1|sann2.mih8
ce1 sann2mih8	ce1|sann2.mih8
bue2	bue2
phah4kiu5	phah4.kiu5
gua2 cai1	gua2|cai1
li2 kong2 sann2	li2|kong2|sann2
i1 beh4 liah8khi3 si2	i1|beh4|liah8khi3|si2
gin2a2lang5 oo1peh8 kong2	gin2.a2.lang5|oo1.peh8|kong2
chue5a2 chiam2lue3	chue5a2|chiam2.lue3
i1 tih4 sai1lue3	i1|tih4|sai1.lue3
oo1peh8 kong2	oo1.peh8|kong2
he1 sann2mih8	he1|sann2.mih8
li2 kong2 kue3	li2|kong2|kue3
ce1	ce1
cun5a2	cun5a2
ce1	ce1
ce1	ce1
cha1 hiah4	cha1|hiah4
ce1	ce1
sann2mih8 cui2	sann2.mih8|cui2
siann2mih8 cui2	siann2.mih8|cui2
li2 cok4	li2|cok4
hai2cui2 tio3hi5 cui2	hai2.cui2|tio3.hi5|cui2
siunn1 ling2	siunn1|ling2
e1cai2a2 in1 me1a2 huat4sio1	e1.cai2.a2|in1|me1.a2|huat4.sio1
